Y,X11_date,X1_G,X2_OG,X3_W,X4_OW,X5_L,X6_OL,X7_S,X8_OS,X9_D,X10_Sta,C1_DFri,C1_DSat,C1_DSun,C2_East,C3_OEast,C4_DATL,C4_DNW,C4_DP,C4_DSE,C4_DSW,C5_ODATL,C5_ODNW,C5_ODP,C5_ODSE,C5_ODSW
18624,23,12,12,6,9,5,2,1,5,3098.4,18624,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
17989,23,11,12,7,9,3,2,1,6,244.4,19077,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
17608,23,13,13,4,10,8,2,-3,-1,386.4,17608,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
18997,23,13,13,7,9,5,3,1,4,1358.6,18997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19715,23,11,12,2,6,8,5,-3,2,455.9,19200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12476,23,12,12,4,7,7,4,1,-2,1506.5,19155,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
16780,23,13,13,6,3,6,9,2,-3,1698.8,17923,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15552,23,13,14,2,7,10,6,-1,-2,2535.6,16867,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18203,23,13,12,7,4,5,7,1,-2,1469.7,18203,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
18717,24,12,13,5,10,6,2,-2,6,2171.9,18717,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
19060,24,14,13,11,8,2,4,1,4,2015.8,19060,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17112,24,13,12,7,4,5,7,3,1,829.4,18119,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18846,24,13,12,5,2,7,9,1,-4,1087.1,18846,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
15739,24,14,12,3,8,10,3,1,2,714.8,16867,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
16107,24,14,13,6,6,7,6,-2,-1,717.9,22076,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
14760,24,13,14,7,7,5,6,1,-2,1477.8,18055,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18125,24,13,14,2,4,10,9,-1,1,2346.4,20328,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
15848,24,12,12,3,3,8,8,1,1,1050.5,20356,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
17608,25,14,13,4,8,9,4,-4,1,2551.9,17608,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
19812,25,13,13,5,9,7,3,-1,-1,865.6,19812,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
18997,25,14,14,7,8,6,5,-1,-1,2015.8,18997,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
16608,25,13,15,4,7,8,7,-3,-3,2895.8,17732,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
12565,25,13,15,4,7,8,7,-1,-3,519.6,19155,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
18203,25,14,14,8,6,5,7,2,-1,740.4,18203,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
16223,30,14,16,6,9,7,6,1,1,619.8,18717,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
20562,30,14,15,11,2,2,12,2,-7,1184.4,20562,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18624,30,16,16,9,12,6,3,3,7,2037.2,18624,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
17222,30,16,15,10,4,5,10,6,-2,1043.4,18119,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
19911,30,17,16,8,10,8,5,1,1,1870.5,18303,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
17608,30,16,16,6,9,9,6,2,-1,1932.8,17608,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19812,30,15,15,7,8,7,6,2,-3,627.9,19812,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
18997,30,17,16,8,13,8,2,-1,9,365.4,18997,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17103,30,16,14,6,4,9,9,-2,1,846.6,18846,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
14327,30,16,17,6,8,9,8,-1,-3,677.6,19155,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
16083,30,17,15,7,4,9,10,-2,-5,730.2,17923,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
17023,30,17,17,7,14,9,2,1,4,2307.4,22076,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18234,30,16,16,4,9,11,6,-1,-1,765,20328,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
16728,30,17,15,5,4,11,10,1,-3,1644.3,18422,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19393,30,18,17,8,6,9,10,-2,4,2538.7,19980,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19600,31,16,17,5,10,10,6,1,-1,1044.4,19600,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
19195,31,16,16,8,8,7,7,-4,3,626.5,19077,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
18203,31,18,18,9,8,8,9,1,2,1058.2,18203,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
19596,31,17,16,14,5,2,10,10,1,1966.3,19596,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
17066,31,15,17,5,13,9,3,2,8,1598,20356,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
18997,32,18,17,8,10,9,6,-2,-1,2176.2,18997,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
16521,32,17,15,6,6,10,8,-3,-1,1251.9,18846,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
19302,32,16,18,2,6,13,11,-8,-1,507.1,19200,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
13646,32,16,17,4,6,11,10,-6,-1,2824.3,17732,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
15572,32,18,18,8,14,9,3,1,-1,2071,17923,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
19311,32,17,15,4,12,12,2,-2,3,435,20328,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
15365,32,18,17,5,6,12,10,-1,-2,863.5,18422,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
19393,32,19,17,9,10,9,6,1,1,2272.5,19980,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20562,36,17,20,13,14,3,5,-1,-3,2347.7,20562,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13344,36,20,19,11,7,8,11,-2,1,819.8,18119,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
14471,36,19,18,10,3,8,14,-1,-1,1028.6,19077,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
19073,36,20,19,11,6,8,12,4,1,2532.7,18303,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
12675,36,18,17,5,8,12,8,1,2,883.2,17732,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
19596,36,19,19,16,11,2,7,12,-1,1914.3,19596,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
21775,37,18,18,10,13,7,4,-1,-2,345.8,20917,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18624,37,19,19,10,7,8,11,-1,-1,3014.7,18624,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
15500,37,20,21,10,10,9,10,-4,2,752.4,18118,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
19812,37,19,19,9,5,9,13,1,-3,1199,19812,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
15549,37,19,20,7,12,11,7,-1,1,1032.3,19155,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16538,37,20,21,7,15,12,5,1,1,1893,16867,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19800,37,19,21,12,10,6,10,4,1,2521.9,19800,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
13711,37,19,20,4,7,14,12,-4,-1,979.7,20328,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
18418,37,20,18,15,6,4,11,1,-1,1601.6,18418,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15565,38,18,19,9,5,8,13,3,-1,890.1,18717,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
17017,38,21,22,12,10,8,11,1,-1,1798,18119,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
16982,38,20,20,11,5,8,14,1,-4,1170.4,19077,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
19911,38,21,20,11,7,9,12,-1,-2,519.3,18303,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
